person_id,belongs_to_groups,belongs_to_household,educational_involvement,lifetime_raised,first_degree,last_degree,multiple_degree,faculty,province,grad_year,event_count_all,event_count_5years,events_target_year
P000001,1,1,4,54.09,MEng,MEng,0,Engineering,BC,1980,13,10,6
P000002,1,0,2,69.2,Cert,Cert,0,Science,BC,1990,15,10,6
P000003,1,0,5,42.99,BComm,BComm,0,Medicine,BC,1984,13,8,7
P000004,1,1,0,58.66,MBA,PhD,1,Arts,BC,1980,20,11,8
P000005,1,0,0,135.55,BComm,BComm,0,Engineering,ON,2014,8,6,4
P000006,1,1,3,115.91,Cert,Cert,0,Engineering,BC,1976,13,9,9
P000007,1,0,0,76.23,PhD,PhD,0,Arts,BC,1992,7,5,4
P000008,0,1,2,173.2,BSc,BSc,0,Arts,ON,1990,14,7,5
P000009,0,0,3,71.23,MEng,MEng,0,Business,ON,2000,17,8,6
P000010,0,1,1,27.07,MA,MA,0,Business,QC,1977,12,9,5
P000011,0,0,1,14.64,MEng,MEng,0,Medicine,BC,2007,11,5,2
P000012,1,0,1,34.05,MA,MBA,1,Arts,ON,2014,22,9,9
P000013,1,0,0,56.57,BA,BA,0,Medicine,ON,2023,7,5,4
P000014,0,1,5,81.89,MA,MA,0,Medicine,BC,2024,22,9,9
P000015,0,1,4,141.2,MA,BComm,1,Business,BC,2006,18,6,6
P000016,1,0,2,37.53,MBA,MBA,0,Medicine,QC,1994,18,13,9
P000017,0,1,1,31.17,MBA,MBA,0,Science,Other,2018,10,7,4
P000018,1,1,5,110.46,BSc,BSc,0,Medicine,ON,2013,16,10,9
P000019,0,1,1,153.01,MEng,MEng,0,Business,ON,2021,17,9,7
P000020,0,1,1,40.55,Cert,Cert,0,Science,BC,2008,6,7,3
P000021,1,1,2,78.0,BComm,BSc,1,Medicine,BC,2011,14,10,6
P000022,0,1,1,179.38,MA,MA,0,Science,ON,1978,15,6,3
P000023,0,0,3,76.95,MA,PhD,1,Arts,BC,1993,19,8,8
P000024,0,1,4,56.94,BSc,BSc,0,Arts,Other,1978,17,8,6
P000025,1,1,0,11.22,BA,BA,0,Engineering,BC,1975,19,9,9
P000026,0,0,5,172.34,MEng,MEng,0,Business,BC,2003,13,12,8
P000027,1,0,2,99.74,MA,MA,0,Medicine,ON,1984,16,12,8
P000028,0,1,0,65.81,BComm,BComm,0,Medicine,ON,1979,11,1,1
P000029,0,1,0,40.97,MBA,MBA,0,Arts,ON,1980,7,4,2
P000030,1,0,5,21.89,MA,MA,0,Science,ON,2011,16,7,7
P000031,1,0,2,54.92,BA,BA,0,Arts,BC,1985,14,8,8
